#;Date and time;Second;Microsecond
198;2023-04-15 22:15:35.852495;35;852495
199;2023-04-15 22:15:35.863494;35;863494
200;2023-04-15 22:15:35.874495;35;874495
201;2023-04-15 22:15:35.885496;35;885496
202;2023-04-15 22:15:35.896496;35;896496
203;2023-04-15 22:15:35.907495;35;907495
204;2023-04-15 22:15:35.920009;35;920009
205;2023-04-15 22:15:35.931008;35;931008
206;2023-04-15 22:15:35.942008;35;942008
207;2023-04-15 22:15:35.953009;35;953009
208;2023-04-15 22:15:35.964009;35;964009
209;2023-04-15 22:15:35.975009;35;975009
210;2023-04-15 22:15:35.985520;35;985520
211;2023-04-15 22:15:35.996520;35;996520
212;2023-04-15 22:15:36.007521;36;7521
213;2023-04-15 22:15:36.018521;36;18521
214;2023-04-15 22:15:36.029520;36;29520
215;2023-04-15 22:15:36.040520;36;40520
216;2023-04-15 22:15:36.051520;36;51520
217;2023-04-15 22:15:36.062033;36;62033
218;2023-04-15 22:15:36.073033;36;73033
219;2023-04-15 22:15:36.084032;36;84032
220;2023-04-15 22:15:36.095033;36;95033
221;2023-04-15 22:15:36.105544;36;105544
222;2023-04-15 22:15:36.116544;36;116544
223;2023-04-15 22:15:36.127544;36;127544
224;2023-04-15 22:15:36.138064;36;138064
225;2023-04-15 22:15:36.148579;36;148579
226;2023-04-15 22:15:36.159569;36;159569
227;2023-04-15 22:15:36.170568;36;170568
228;2023-04-15 22:15:36.181569;36;181569
229;2023-04-15 22:15:36.192569;36;192569
230;2023-04-15 22:15:36.203569;36;203569
231;2023-04-15 22:15:36.214569;36;214569
232;2023-04-15 22:15:36.225574;36;225574
233;2023-04-15 22:15:36.236569;36;236569
234;2023-04-15 22:15:36.247568;36;247568
235;2023-04-15 22:15:36.258132;36;258132
236;2023-04-15 22:15:36.268600;36;268600
237;2023-04-15 22:15:36.279594;36;279594
238;2023-04-15 22:15:36.290594;36;290594
239;2023-04-15 22:15:36.301593;36;301593
240;2023-04-15 22:15:36.312594;36;312594
241;2023-04-15 22:15:36.323593;36;323593
242;2023-04-15 22:15:36.334594;36;334594
243;2023-04-15 22:15:36.345594;36;345594
244;2023-04-15 22:15:36.356595;36;356595
245;2023-04-15 22:15:36.367594;36;367594
246;2023-04-15 22:15:36.378111;36;378111
247;2023-04-15 22:15:36.388623;36;388623
248;2023-04-15 22:15:36.399618;36;399618
249;2023-04-15 22:15:36.410618;36;410618
250;2023-04-15 22:15:36.421617;36;421617
251;2023-04-15 22:15:36.432617;36;432617
252;2023-04-15 22:15:36.443618;36;443618
253;2023-04-15 22:15:36.454618;36;454618
254;2023-04-15 22:15:36.465618;36;465618
255;2023-04-15 22:15:36.476618;36;476618
256;2023-04-15 22:15:36.487618;36;487618
257;2023-04-15 22:15:36.498140;36;498140
258;2023-04-15 22:15:36.508660;36;508660
259;2023-04-15 22:15:36.519643;36;519643
260;2023-04-15 22:15:36.530642;36;530642
261;2023-04-15 22:15:36.541643;36;541643
262;2023-04-15 22:15:36.552642;36;552642
263;2023-04-15 22:15:36.563643;36;563643
264;2023-04-15 22:15:36.574643;36;574643
265;2023-04-15 22:15:36.585643;36;585643
266;2023-04-15 22:15:36.596643;36;596643
267;2023-04-15 22:15:36.607642;36;607642
268;2023-04-15 22:15:36.618157;36;618157
269;2023-04-15 22:15:36.628670;36;628670
270;2023-04-15 22:15:36.639664;36;639664
271;2023-04-15 22:15:36.650664;36;650664
272;2023-04-15 22:15:36.661664;36;661664
273;2023-04-15 22:15:36.672664;36;672664
274;2023-04-15 22:15:36.683664;36;683664
275;2023-04-15 22:15:36.694664;36;694664
276;2023-04-15 22:15:36.705664;36;705664
277;2023-04-15 22:15:36.716664;36;716664
278;2023-04-15 22:15:36.727664;36;727664
279;2023-04-15 22:15:36.738181;36;738181
280;2023-04-15 22:15:36.748693;36;748693
281;2023-04-15 22:15:36.759686;36;759686
282;2023-04-15 22:15:36.770686;36;770686
283;2023-04-15 22:15:36.781686;36;781686
284;2023-04-15 22:15:36.792686;36;792686
285;2023-04-15 22:15:36.803686;36;803686
286;2023-04-15 22:15:36.814686;36;814686
